Tiempo,Velocidad,Latitud,Longitud,T_acumulado_min
2024-10-01 06:05:45,45.3,-0.29002,-78.538656,431.1666666666644
2024-10-01 06:05:50,47.0,-0.289483,-78.538466,431.2499999999977
2024-10-01 06:05:55,46.1,-0.288935,-78.538273,431.33333333333104
2024-10-01 06:06:00,40.3,-0.28841,-78.538056,431.41666666666436
2024-10-01 06:06:05,28.8,-0.288,-78.5379,431.49999999999767
2024-10-01 06:06:10,13.5,-0.28774,-78.537793,431.583333333331
2024-10-01 06:06:15,0.0,-0.287713,-78.537778,431.6666666666643
2024-10-01 06:06:24,5.1,-0.287658,-78.53775,431.8166666666643
2024-10-01 06:06:29,12.7,-0.287518,-78.537696,431.8999999999976
2024-10-01 06:06:34,0.0,-0.287458,-78.537673,431.9833333333309
2024-10-01 06:06:54,6.4,-0.287413,-78.537661,432.3166666666642
2024-10-01 06:06:59,20.7,-0.287256,-78.537598,432.39999999999753
2024-10-01 06:07:04,33.7,-0.286905,-78.537473,432.48333333333085
2024-10-01 06:07:09,14.6,-0.286613,-78.537341,432.56666666666416
2024-10-01 06:07:14,0.0,-0.28659,-78.537331,432.6499999999975
2024-10-01 06:07:19,12.7,-0.286498,-78.537281,432.7333333333308
2024-10-01 06:07:24,27.9,-0.286256,-78.537178,432.8166666666641
2024-10-01 06:07:29,40.5,-0.285865,-78.536985,432.8999999999974
2024-10-01 06:07:34,50.0,-0.285376,-78.53669,432.98333333333073
2024-10-01 06:07:39,51.4,-0.284833,-78.536355,433.06666666666405
2024-10-01 06:07:44,50.3,-0.284288,-78.536026,433.14999999999736
2024-10-01 06:07:49,50.0,-0.283751,-78.5357,433.2333333333307
2024-10-01 06:07:54,48.3,-0.283238,-78.53536,433.316666666664
2024-10-01 06:07:59,29.0,-0.282821,-78.535093,433.3999999999973
2024-10-01 06:08:04,0.0,-0.282668,-78.534995,433.4833333333306
2024-10-01 06:08:22,5.3,-0.282635,-78.534953,433.78333333333063
2024-10-01 06:08:27,18.5,-0.282506,-78.534868,433.86666666666395
2024-10-01 06:08:32,32.4,-0.28223,-78.534681,433.94999999999726
2024-10-01 06:08:37,42.4,-0.281843,-78.534386,434.0333333333306
2024-10-01 06:08:42,50.9,-0.281378,-78.534008,434.1166666666639
2024-10-01 06:08:47,50.5,-0.28087,-78.533625,434.1999999999972
2024-10-01 06:08:52,34.6,-0.280423,-78.533285,434.2833333333305
2024-10-01 06:08:57,4.0,-0.280253,-78.533156,434.36666666666383
2024-10-01 06:09:02,0.0,-0.280253,-78.533156,434.44999999999715
2024-10-01 06:09:19,4.4,-0.280223,-78.533121,434.7333333333305
2024-10-01 06:09:24,17.4,-0.28011,-78.533035,434.8166666666638
2024-10-01 06:09:29,32.0,-0.27985,-78.532838,434.89999999999714
2024-10-01 06:09:34,43.3,-0.279468,-78.532548,434.98333333333045
2024-10-01 06:09:39,51.4,-0.27899,-78.532185,435.06666666666376
2024-10-01 06:09:44,38.3,-0.278536,-78.531841,435.1499999999971
2024-10-01 06:09:49,34.4,-0.278186,-78.531593,435.2333333333304
2024-10-01 06:09:54,38.1,-0.277813,-78.531323,435.3166666666637
2024-10-01 06:09:59,44.6,-0.277416,-78.530991,435.399999999997
2024-10-01 06:10:04,47.4,-0.276951,-78.530655,435.48333333333034
2024-10-01 06:10:09,50.0,-0.276508,-78.53043,435.56666666666365
2024-10-01 06:10:14,52.0,-0.275785,-78.530105,435.64999999999696
2024-10-01 06:10:18,49.6,-0.275286,-78.529981,435.7166666666636
2024-10-01 06:10:23,49.8,-0.274666,-78.529886,435.79999999999694
2024-10-01 06:10:28,48.3,-0.27405,-78.529766,435.88333333333026
2024-10-01 06:10:33,35.3,-0.273543,-78.529593,435.96666666666357
2024-10-01 06:10:38,18.3,-0.273228,-78.529483,436.0499999999969
2024-10-01 06:10:43,0.0,-0.27312,-78.529455,436.1333333333302
2024-10-01 06:10:44,0.0,-0.27312,-78.529455,436.14999999999685
2024-10-01 06:10:45,0.0,-0.27312,-78.529455,436.1666666666635
2024-10-01 06:11:03,4.4,-0.273076,-78.529445,436.4666666666635
2024-10-01 06:11:08,16.2,-0.272951,-78.5294,436.5499999999968
2024-10-01 06:11:13,30.3,-0.272668,-78.529301,436.63333333333014
2024-10-01 06:11:18,38.3,-0.272235,-78.529151,436.71666666666346
2024-10-01 06:11:23,23.7,-0.271873,-78.529028,436.79999999999677
2024-10-01 06:11:28,0.0,-0.27175,-78.528991,436.8833333333301
2024-10-01 06:11:42,4.0,-0.271703,-78.528965,437.11666666666343
2024-10-01 06:11:47,18.1,-0.271555,-78.528913,437.19999999999675
2024-10-01 06:11:52,33.8,-0.271226,-78.528811,437.28333333333006
2024-10-01 06:11:57,39.6,-0.270765,-78.528638,437.3666666666634
2024-10-01 06:11:59,40.5,-0.2706,-78.528521,437.39999999999674
2024-10-01 06:12:04,43.7,-0.27017,-78.52821,437.48333333333005
2024-10-01 06:12:07,44.0,-0.269878,-78.528053,437.53333333333006
2024-10-01 06:12:12,46.1,-0.269348,-78.527858,437.6166666666634
2024-10-01 06:12:17,42.7,-0.268816,-78.52766,437.6999999999967
2024-10-01 06:12:22,30.5,-0.268473,-78.527546,437.78333333333
2024-10-01 06:12:27,15.9,-0.26815,-78.527435,437.8666666666633
2024-10-01 06:12:32,0.0,-0.2681,-78.52742,437.94999999999663
2024-10-01 06:12:38,4.2,-0.268068,-78.527403,438.04999999999666
2024-10-01 06:12:43,15.5,-0.26794,-78.52736,438.13333333333
2024-10-01 06:12:48,27.0,-0.267675,-78.527276,438.2166666666633
2024-10-01 06:12:53,12.2,-0.267426,-78.527206,438.2999999999966
2024-10-01 06:12:58,0.0,-0.267405,-78.527196,438.3833333333299
2024-10-01 06:13:07,5.0,-0.267363,-78.527175,438.5333333333299
2024-10-01 06:13:12,17.2,-0.267225,-78.527133,438.6166666666632
2024-10-01 06:13:16,28.5,-0.267008,-78.527026,438.68333333332987
2024-10-01 06:13:21,38.5,-0.266718,-78.526848,438.7666666666632
2024-10-01 06:13:26,47.7,-0.266171,-78.52646,438.8499999999965
2024-10-01 06:13:31,52.4,-0.265673,-78.526083,438.9333333333298
2024-10-01 06:13:36,50.3,-0.265146,-78.52572,439.0166666666631
2024-10-01 06:13:41,45.0,-0.264665,-78.525376,439.09999999999644
2024-10-01 06:13:46,35.7,-0.264256,-78.525073,439.18333333332976
2024-10-01 06:13:51,21.2,-0.263978,-78.524858,439.26666666666307
2024-10-01 06:13:56,0.0,-0.263888,-78.524788,439.3499999999964
2024-10-01 06:14:02,7.0,-0.263853,-78.524753,439.4499999999964
2024-10-01 06:14:07,23.7,-0.263686,-78.524633,439.5333333333297
2024-10-01 06:14:12,42.0,-0.263328,-78.524381,439.61666666666304
2024-10-01 06:14:17,50.0,-0.262848,-78.524045,439.69999999999635
2024-10-01 06:14:22,52.7,-0.262286,-78.523711,439.78333333332967
2024-10-01 06:14:27,54.8,-0.26166,-78.523393,439.866666666663
2024-10-01 06:14:32,57.2,-0.261118,-78.523173,439.9499999999963
2024-10-01 06:14:37,45.9,-0.260358,-78.522911,440.0333333333296
2024-10-01 06:14:42,27.2,-0.25989,-78.522798,440.1166666666629
2024-10-01 06:14:47,0.0,-0.259733,-78.522751,440.19999999999624
2024-10-01 06:14:59,5.1,-0.259695,-78.522675,440.3999999999962
2024-10-01 06:15:04,0.0,-0.259623,-78.522663,440.48333333332954
2024-10-01 06:15:26,4.4,-0.259546,-78.522676,440.8499999999962
2024-10-01 06:15:31,16.6,-0.259418,-78.522653,440.93333333332953
2024-10-01 06:15:36,29.8,-0.25913,-78.52261,441.01666666666284
2024-10-01 06:15:41,40.7,-0.258688,-78.52256,441.09999999999616
